model,forgetting,noise,update_conflict
Naive,0.3732,0.3125,0.3462
RAG,0.0000,0.0000,0.0000
EpSem,0.9031,0.8906,0.8517
EpSem-F,0.9031,0.8906,0.8517
EpSem-SS,1.0000,1.0000,0.9728
