model,t200,t500,t1000
Naive,0.7060,0.2578,0.0681
RAG,0.0000,0.0000,0.0000
EpSem,0.8623,0.9102,0.8729
EpSem-F,0.8623,0.9102,0.8729
EpSem-SS,1.0000,0.9885,0.9844
